case_key,case_name,mc_mode,mc_iterations,repeat_id,elicitation_id,alternative,rank1_probability
01,01-port-selection-liang-et-al,strict,5000,0,0,Genoa,0.0
01,01-port-selection-liang-et-al,strict,5000,0,0,Antwerp,0.0
01,01-port-selection-liang-et-al,strict,5000,0,0,Rotterdam,1.0
01,01-port-selection-liang-et-al,strict,5000,0,0,Hamburg,0.0
01,01-port-selection-liang-et-al,strict,5000,0,0,Gdansk,0.0
01,01-port-selection-liang-et-al,strict,5000,1,0,Piraeus,0.0
01,01-port-selection-liang-et-al,strict,5000,1,0,Koper,0.0
01,01-port-selection-liang-et-al,strict,5000,1,0,Genoa,0.0
01,01-port-selection-liang-et-al,strict,5000,1,0,Antwerp,0.0
01,01-port-selection-liang-et-al,strict,5000,1,0,Rotterdam,1.0
01,01-port-selection-liang-et-al,strict,5000,1,0,Hamburg,0.0
01,01-port-selection-liang-et-al,strict,5000,1,0,Gdansk,0.0
01,01-port-selection-liang-et-al,strict,5000,2,0,Piraeus,0.0
01,01-port-selection-liang-et-al,strict,5000,2,0,Koper,0.0
01,01-port-selection-liang-et-al,strict,5000,2,0,Genoa,0.0
01,01-port-selection-liang-et-al,strict,5000,2,0,Antwerp,0.0
01,01-port-selection-liang-et-al,strict,5000,2,0,Rotterdam,1.0
01,01-port-selection-liang-et-al,strict,5000,2,0,Hamburg,0.0
01,01-port-selection-liang-et-al,strict,5000,2,0,Gdansk,0.0
01,01-port-selection-liang-et-al,strict,5000,3,0,Piraeus,0.0
01,01-port-selection-liang-et-al,strict,5000,3,0,Koper,0.0
01,01-port-selection-liang-et-al,strict,5000,3,0,Genoa,0.0
01,01-port-selection-liang-et-al,strict,5000,3,0,Antwerp,0.0
01,01-port-selection-liang-et-al,strict,5000,3,0,Rotterdam,1.0
01,01-port-selection-liang-et-al,strict,5000,3,0,Hamburg,0.0
01,01-port-selection-liang-et-al,strict,5000,3,0,Gdansk,0.0
01,01-port-selection-liang-et-al,strict,5000,4,0,Piraeus,0.0
01,01-port-selection-liang-et-al,strict,5000,4,0,Koper,0.0
01,01-port-selection-liang-et-al,strict,5000,4,0,Genoa,0.0
01,01-port-selection-liang-et-al,strict,5000,4,0,Antwerp,0.0
01,01-port-selection-liang-et-al,strict,5000,4,0,Rotterdam,1.0
01,01-port-selection-liang-et-al,strict,5000,4,0,Hamburg,0.0
